Category,State,Rank,HS Code,Description,Value2017,Value2018,Value2019,Value2020,Share2017,Share2018,Share2019,Share2020
Export,CA,1,870380,"MOTOR VEHICLES WITH ONLY ELECTRIC MOTOR,NESOI",2953,2987,7153,5651,1.7,1.7,4.1,3.6
Export,CA,2,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",7166,7274,7196,4991,4.2,4.1,4.1,3.2
Export,CA,3,848620,MACHINES AND APPARATUS FOR THE MANUFACTURE OF SEMI,5015,4622,3579,4821,2.9,2.6,2.1,3.1
Export,CA,4,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",3541,3365,2953,3864,2.1,1.9,1.7,2.5
Export,CA,5,851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMI",4468,4627,4310,3790,2.6,2.6,2.5,2.4
Export,CA,6,80212,"ALMONDS, FRESH OR DRIED, SHELLED",3235,3343,3648,3397,1.9,1.9,2.1,2.2
Export,CA,7,710239,"DIAMONDS, NONINDUSTRIAL, WORKED, INCLUDING POLISHE",4898,5488,4580,3198,2.8,3.1,2.6,2
Export,CA,8,848690,MACHINES AND APPARATUS OF A KIND USED FOR THE MANU,1951,2579,2432,3020,1.1,1.4,1.4,1.9
Export,CA,9,382200,"COMPOSITE DIAGNOSTIC OR LABORATORY REAGENTS, OTHER",2030,2427,2528,2856,1.2,1.4,1.5,1.8
Export,CA,10,847330,PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSIN,2505,3184,2396,2471,1.5,1.8,1.4,1.6
Export,CA,11,901890,"INSTRUMENTS AND APPLIANCES FOR MEDICAL, SURGICAL O",2170,2296,2477,1998,1.3,1.3,1.4,1.3
Export,CA,12,271019,"PETROLEUM OILS, OILS FROM BITUMINOUS MINERALS (OTH",2451,2850,3308,1564,1.4,1.6,1.9,1
Export,CA,13,80251,"PISTACHIOS, IN SHELL, FRESH OR DRIED",1336,1413,1706,1386,0.8,0.8,1,0.9
Export,CA,14,300212,ANTISERA AND OTHER BLOOD FRACTIONS,1288,1069,1395,1291,0.7,0.6,0.8,0.8
Export,CA,15,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEGRATED",1306,1459,1223,1290,0.8,0.8,0.7,0.8
Export,CA,16,210690,FOOD PREPARATIONS NESOI,1086,1039,1252,1287,0.6,0.6,0.7,0.8
Export,CA,17,870323,PASSENGER MOTOR VEHICLES WITH SPARK-IGNITION INTER,1863,1715,1699,1206,1.1,1,1,0.8
Export,CA,18,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",2131,1966,1506,1143,1.2,1.1,0.9,0.7
